human-rel,human-coh,rouge1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
4.15,3.06,0.411111111111111,0.179775280898876,0.0909090909090909,0.0229885057471264,0.311111111111111,13.2678562369095,22.43,0.580550847790097
3.42,3.72,0.461538461538462,0.142857142857143,0.0526315789473684,0,0.282051282051282,6.70509444883533,25.43,0.341680029604046
3.74,4.06,0.373626373626374,0.122222222222222,0.0112359550561798,0,0.131868131868132,6.52532902612528,36.95,0.463373755299221
3.28,1.9,0.207792207792208,0.0921052631578947,0.0533333333333333,0.027027027027027,0.142857142857143,7.9549104569348,27.84,0.312630242408382
2.54,2.17,0.270833333333333,0.147368421052632,0.0957446808510638,0.0645161290322581,0.208333333333333,10.7311284959073,55.46,0.42010136800112
4.03,2.66,0.361111111111111,0.183098591549296,0.1,0.0579710144927536,0.208333333333333,17.963747679246,23.13,0.582089359122231
3.93,4.4,0.486238532110092,0.175925925925926,0.0841121495327103,0.0377358490566038,0.293577981651376,11.756811461451,26.5,0.405055709245958
3.84,2.6,0.302631578947368,0.0933333333333333,0.027027027027027,0,0.197368421052632,5.18417006497721,36.26,0.457735965679624
2.6,2.6,0.311475409836066,0.05,0,0,0.147540983606557,2.68142556901293,25.51,0.177133655394525
3.83,2.35,0.333333333333333,0.135593220338983,0.0517241379310345,0.0175438596491228,0.2,7.88281688808991,27.5,0.35292763317338
4.49,4.49,0.421875,0.158730158730159,0.0483870967741936,0,0.21875,9.32678126388416,33.37,0.464154411764706
3.29,2.86,0.446428571428571,0.236363636363636,0.111111111111111,0.0566037735849057,0.285714285714286,16.1527346758419,23.42,0.512201511335013
3.85,2.74,0.366666666666667,0.213483146067416,0.147727272727273,0.114942528735632,0.222222222222222,15.3292967275064,26.05,0.559610705596107
4.02,4.19,0.428571428571429,0.180722891566265,0.109756097560976,0.0864197530864197,0.238095238095238,17.7634146848598,31.08,0.367341040462428
3.73,4.01,0.43421052631579,0.226666666666667,0.0945945945945946,0.0684931506849315,0.302631578947368,19.3597663763045,22.54,0.392760180995475
3.29,2.53,0.3125,0.0886075949367089,0,0,0.1875,2.80306245608328,42.51,0.35122643236317
4.48,3.87,0.431372549019608,0.346534653465346,0.31,0.292929292929293,0.372549019607843,33.8407381579018,42.08,0.732478277547912
4.04,3.01,0.365384615384615,0.156862745098039,0.04,0,0.25,6.637424938468,24.42,0.320097155668879
3.79,3.99,0.368932038834951,0.245098039215686,0.227722772277228,0.21,0.281553398058252,26.2498361702695,23.17,0.472185256581442
3.55,3.92,0.480769230769231,0.29126213592233,0.205882352941176,0.148514851485149,0.403846153846154,27.2097969507868,19.58,0.68221424372218
4.49,4.15,0.385964912280702,0.214285714285714,0.163636363636364,0.12962962962963,0.280701754385965,21.9420954804863,30.3,0.411810305931801
3.56,3.28,0.322033898305085,0.120689655172414,0.0526315789473684,0.0178571428571429,0.23728813559322,10.9010170426082,38.94,0.362232967032967
3.92,3.91,0.367816091954023,0.197674418604651,0.117647058823529,0.0714285714285714,0.229885057471264,16.6231245425604,27.15,0.487902084041228
3.77,4.34,0.351063829787234,0.0645161290322581,0,0,0.159574468085106,1.96300872714692,44.41,0.202044819151477
4.35,3.64,0.35632183908046,0.151162790697674,0.0941176470588235,0.0595238095238095,0.172413793103448,10.7662554091309,40.53,0.510722016079159
2.21,2.53,0.291666666666667,0.154929577464789,0.0714285714285714,0.0144927536231884,0.222222222222222,6.20044105682533,22.96,0.463840399002494
4.37,4.19,0.241379310344828,0.0813953488372093,0.0352941176470588,0.0119047619047619,0.114942528735632,6.40534714065049,18.41,0.352529058116232
4.49,3.46,0.545454545454545,0.215384615384615,0.125,0.0634920634920635,0.303030303030303,10.7469627215076,28.02,0.28238969778294
3.83,2.59,0.385542168674699,0.182926829268293,0.0987654320987654,0.0625,0.253012048192771,15.2828041023427,45.65,0.382236442761757
2.64,3.15,0.257142857142857,0.0579710144927536,0,0,0.157142857142857,2.59382783821986,22.55,0.287811956999103
4.49,3.74,0.469879518072289,0.317073170731707,0.197530864197531,0.15,0.337349397590361,22.9719288922885,42.07,0.49176299879081
3.59,3.3,0.376470588235294,0.130952380952381,0.0843373493975904,0.0609756097560976,0.223529411764706,12.5971038079542,18.68,0.357245604895458
3.7,4.01,0.611940298507463,0.484848484848485,0.415384615384615,0.375,0.343283582089552,34.2416399337329,39.81,0.450947982498785
4.14,3.65,0.46875,0.221052631578947,0.138297872340426,0.10752688172043,0.239583333333333,19.1541389054469,27.69,0.456945412395708
3.7,2.69,0.597826086956522,0.21978021978022,0.1,0.0449438202247191,0.347826086956522,8.05069336220529,38.88,0.329139537866725
3.38,3.22,0.277777777777778,0.102803738317757,0.0566037735849057,0.00952380952380952,0.166666666666667,7.96721039187567,22.43,0.399806431361607
4.26,4.09,0.423913043478261,0.296703296703297,0.233333333333333,0.191011235955056,0.358695652173913,27.1269468036547,25.43,0.535064179676656
4.25,4.08,0.318181818181818,0.0461538461538462,0,0,0.212121212121212,3.78775352731067,36.95,0.413799264561792
3.58,3.83,0.238805970149254,0.151515151515152,0.138461538461538,0.125,0.238805970149254,19.2752532082325,27.84,0.435203094777563
