human-rel,human-coh,rouge1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
4.22,3.75,0.45945945945946,0.301369863013699,0.222222222222222,0.169014084507042,0.418918918918919,28.0206601517794,37.02,0.656333455516573
4.83,4.39,0.530864197530864,0.2125,0.113924050632911,0.0512820512820513,0.345679012345679,15.481344127781,38.1,0.5078125
4.61,3.99,0.436363636363636,0.203703703703704,0.0943396226415094,0.0769230769230769,0.254545454545454,14.5372940596016,30.81,0.341899217457253
2.66,1.25,0.285714285714286,0.127272727272727,0.0740740740740741,0.0377358490566038,0.178571428571429,10.183789794622,34.61,0.313882743362832
0.28,3.25,0.222222222222222,0,0,0,0.138888888888889,0.892577605181261,16.76,0.0826446280991736
4.35,4.84,0.308823529411765,0.119402985074627,0.0757575757575758,0.0461538461538462,0.220588235294118,12.385320052506,37.29,0.403788027244817
4.31,3.83,0.636363636363636,0.276923076923077,0.125,0.0634920634920635,0.439393939393939,13.3771974129557,43.23,0.397814475025484
2.77,3.98,0.390243902439024,0.175,0.0512820512820513,0,0.292682926829268,11.9120742023725,18.89,0.38118961352657
2.08,3.66,0.307692307692308,0.0392156862745098,0,0,0.153846153846154,2.3371560511455,21.32,0.187315573770492
2.75,2.93,0.339622641509434,0.153846153846154,0.0980392156862745,0.04,0.207547169811321,14.1051379158119,31.58,0.287464261066746
3.97,4.72,0.395348837209302,0.142857142857143,0.024390243902439,0,0.255813953488372,8.14205164211445,17.49,0.302322796934866
4.25,3.85,0.536585365853659,0.325,0.230769230769231,0.131578947368421,0.365853658536585,33.0372588579196,46.94,0.498139177693762
1.01,2.39,0.444444444444444,0.342857142857143,0.294117647058823,0.272727272727273,0.416666666666667,18.8185723245912,45.89,0.285230909922268
4.88,4.37,0.395604395604396,0.166666666666667,0.101123595505618,0.0795454545454545,0.241758241758242,15.6407440946844,39.83,0.400593300596147
1.66,2.57,0.4375,0.127659574468085,0.0217391304347826,0,0.270833333333333,5.90888494713041,29.91,0.269015071854189
1.37,2.77,0.171428571428571,0.0289855072463768,0,0,0.114285714285714,3.82643262201334,18.69,0.196285921776118
3.14,3.51,0.585714285714286,0.507246376811594,0.455882352941176,0.432835820895522,0.514285714285714,50.2492486356411,26.17,0.729959545801792
4.81,4.44,0.604651162790698,0.476190476190476,0.341463414634146,0.25,0.604651162790698,34.531509769088,68.19,0.458393600701293
2.96,2.23,0.244444444444444,0.0786516853932584,0.0227272727272727,0.0114942528735632,0.0888888888888889,5.32297158494633,23.44,0.268521126760563
3.27,3.09,0.529411764705882,0.18,0.0816326530612245,0.0208333333333333,0.352941176470588,9.04028322585228,29.25,0.331691261574074
2.3,1.86,0.378378378378378,0.25,0.2,0.176470588235294,0.351351351351351,21.8002356106407,54.42,0.309834787270335
2.34,3.92,0.276923076923077,0.09375,0.0476190476190476,0.0161290322580645,0.230769230769231,7.10254992628131,25.77,0.374025341130604
3.32,4.83,0.707317073170732,0.475,0.358974358974359,0.263157894736842,0.682926829268293,36.0702391967041,32.39,0.576742373636161
1.5,4.19,0.380952380952381,0.0487804878048781,0,0,0.214285714285714,0.872021731342617,19.09,0.116048083381309
4.57,2.58,0.328125,0.126984126984127,0.0645161290322581,0.0491803278688525,0.140625,10.7029071680011,25.74,0.418878727634195
1.92,3.56,0.314285714285714,0.147058823529412,0.0606060606060606,0,0.142857142857143,7.71678504430642,19.47,0.307438016528926
4.17,3.12,0.416666666666667,0.2,0.0882352941176471,0.0303030303030303,0.305555555555556,13.2660068028525,22.31,0.395841762893336
2.75,3.81,0.666666666666667,0.31578947368421,0.243243243243243,0.222222222222222,0.487179487179487,8.0364854731406,31.14,0.249439989730953
3.04,3.11,0.365853658536585,0.175,0.0769230769230769,0.0526315789473684,0.292682926829268,9.29007806165424,25.5,0.221677704885521
1.92,0.42,0.1875,0.032258064516129,0,0,0.125,2.18315436950122,16.53,0.149951279367714
3.77,3.57,0.591836734693878,0.270833333333333,0.0851063829787234,0.0217391304347826,0.36734693877551,12.4604181324074,34.5,0.409177179859328
1.84,2.31,0.461538461538462,0.184210526315789,0.135135135135135,0.111111111111111,0.358974358974359,8.95925895927831,33.52,0.276641081364344
2.39,4.33,0.544117647058823,0.417910447761194,0.363636363636364,0.307692307692308,0.455882352941176,31.8817464354572,37.9,0.376774975538621
3.4,3.3,0.4,0.139240506329114,0.0897435897435897,0.0779220779220779,0.25,13.0376008107052,43.33,0.260316444989533
4.21,2.74,0.553846153846154,0.171875,0.0476190476190476,0.0161290322580645,0.307692307692308,2.05791647915461,19.29,0.186503490425992
3.06,3.95,0.242857142857143,0.101449275362319,0.0588235294117647,0.0149253731343284,0.2,5.41583431564139,27.77,0.191750383166123
3.03,2.4,0.357142857142857,0.159420289855072,0.117647058823529,0.0895522388059701,0.285714285714286,15.2111354017202,43.07,0.322543352601156
4.79,3.68,0.30379746835443,0.102564102564103,0.0779220779220779,0.0657894736842105,0.189873417721519,8.14108504267904,29.58,0.315421487603306
3.85,4.38,0.191176470588235,0.0895522388059701,0.0606060606060606,0.0461538461538462,0.176470588235294,11.879682872693,32.74,0.27668759811617
3.2,3.98,0.430555555555556,0.23943661971831,0.185714285714286,0.144927536231884,0.361111111111111,22.5089053007402,35.4,0.620056740615502
2.76,3.57,0.421052631578947,0.0892857142857143,0.0363636363636364,0.0185185185185185,0.245614035087719,7.79888154785011,26.57,0.181818181818182
2.1,3.91,0.75,0.534883720930232,0.452380952380952,0.390243902439024,0.659090909090909,28.7488188241536,19.17,0.469473684210526
1.4,1.78,0.304347826086957,0.111111111111111,0.0227272727272727,0,0.173913043478261,2.75261749846757,20.27,0.138129946212614
3.42,4.1,0.45,0.358974358974359,0.263157894736842,0.216216216216216,0.45,32.8244154487905,54.86,0.473005075045891
4.66,4.67,0.290322580645161,0.152173913043478,0.0879120879120879,0.0333333333333333,0.139784946236559,10.2075949225679,22.42,0.532905563011247
3.42,1.81,0.307692307692308,0.144444444444444,0.0898876404494382,0.0454545454545455,0.164835164835165,13.5262854019634,21.88,0.399115964638585
4.58,3.61,0.622950819672131,0.4,0.288135593220339,0.206896551724138,0.377049180327869,35.412226353588,33.44,0.54346422113149
4.59,3.82,0.571428571428571,0.354838709677419,0.19672131147541,0.1,0.476190476190476,23.5431495598065,39.76,0.429331825619783
4.25,1.87,0.480769230769231,0.235294117647059,0.1,0.0408163265306122,0.346153846153846,12.2829035328803,23.86,0.34077586493324
4.72,3.73,0.386666666666667,0.175675675675676,0.0821917808219178,0.0416666666666667,0.226666666666667,12.0130821015385,36.29,0.367945800471752
